cycle_number,timestamp,phase,cars,motorcycles,buses,trucks,active_vehicles,new_vehicles,unique_vehicles,traffic_load
0,2026-09-18 00:35:41,WARMUP,4,0,1,0,5,5,5,7.0
0,2026-09-18 00:35:49,WARMUP,4,0,1,0,5,0,5,7.0
0,2026-09-18 00:35:52,WARMUP,3,0,1,0,4,0,5,6.0
0,2026-09-18 00:35:55,WARMUP,3,0,1,0,4,0,5,6.0
0,2026-09-18 00:35:58,WARMUP,2,0,3,0,5,1,6,11.0
0,2026-09-18 00:36:00,WARMUP,3,0,2,0,5,0,6,9.0
0,2026-09-18 00:36:03,WARMUP,6,0,0,0,6,2,8,6.0
0,2026-09-18 00:36:06,WARMUP,6,0,0,0,6,0,8,6.0
0,2026-09-18 00:36:09,WARMUP,5,0,1,0,6,0,8,8.0
0,2026-09-18 00:36:12,WARMUP,5,0,1,0,6,0,8,8.0
0,2026-09-18 00:36:15,WARMUP,5,0,1,0,6,0,8,8.0
0,2026-09-18 00:36:18,WARMUP,3,0,2,0,5,0,8,9.0
0,2026-09-18 00:36:21,WARMUP,5,0,1,0,6,0,8,8.0
0,2026-09-18 00:36:24,WARMUP,4,0,1,0,5,0,8,7.0
0,2026-09-18 00:36:27,WARMUP,4,0,1,0,5,0,8,7.0
0,2026-09-18 00:36:29,WARMUP,6,0,1,0,7,0,8,9.0
0,2026-09-18 00:36:32,WARMUP,4,0,1,0,5,0,8,7.0
0,2026-09-18 00:36:35,WARMUP,5,0,1,0,6,0,8,8.0
0,2026-09-18 00:36:38,WARMUP,5,0,1,1,7,1,9,11.5
0,2026-09-18 00:36:41,WARMUP,5,0,0,0,5,0,9,5.0
0,2026-09-18 00:36:44,WARMUP,5,0,1,1,7,0,9,11.5
0,2026-09-18 00:36:47,WARMUP,3,0,2,1,6,0,9,12.5
0,2026-09-18 00:36:50,WARMUP,4,0,2,1,7,0,9,13.5
0,2026-09-18 00:36:53,WARMUP,6,0,0,0,6,0,9,6.0
0,2026-09-18 00:36:55,WARMUP,5,0,2,0,7,1,10,11.0
0,2026-09-18 00:36:58,WARMUP,4,0,1,0,5,0,10,7.0
0,2026-09-18 00:37:01,WARMUP,3,0,2,0,5,0,10,9.0
0,2026-09-18 00:37:04,WARMUP,5,0,2,0,7,0,10,11.0
0,2026-09-18 00:37:07,WARMUP,5,0,1,0,6,0,10,8.0
0,2026-09-18 00:37:10,WARMUP,4,0,0,0,4,0,10,4.0
1,2026-09-18 00:37:14,GREEN,5,0,2,0,7,0,10,11.0
1,2026-09-18 00:37:18,GREEN,4,0,3,0,7,0,10,13.0
1,2026-09-18 00:37:21,GREEN,3,0,2,0,5,0,10,9.0
1,2026-09-18 00:37:24,GREEN,2,0,0,0,2,0,10,2.0
1,2026-09-18 00:37:26,GREEN,8,0,0,0,8,6,16,8.0
1,2026-09-18 00:37:29,GREEN,7,0,0,0,7,1,17,7.0
1,2026-09-18 00:37:31,GREEN,2,0,1,0,3,0,17,5.0
1,2026-09-18 00:37:34,YELLOW,6,0,0,0,6,4,21,6.0
1,2026-09-18 00:37:37,YELLOW,7,0,1,0,8,1,22,10.0
1,2026-09-18 00:37:40,RED,3,0,0,1,4,0,22,6.5
1,2026-09-18 00:37:43,RED,7,0,0,1,8,4,26,10.5
1,2026-09-18 00:37:46,RED,7,0,0,1,8,0,26,10.5
1,2026-09-18 00:37:49,RED,4,0,0,0,4,0,26,4.0
2,2026-09-18 00:37:52,GREEN,6,0,0,0,6,2,28,6.0
2,2026-09-18 00:37:55,GREEN,9,0,0,0,9,2,30,9.0
2,2026-09-18 00:37:58,GREEN,3,0,0,0,3,0,30,3.0
2,2026-09-18 00:38:01,GREEN,6,0,0,1,7,4,34,9.5
2,2026-09-18 00:38:04,GREEN,6,0,0,1,7,0,34,9.5
2,2026-09-18 00:38:07,GREEN,6,0,0,1,7,0,34,9.5
2,2026-09-18 00:38:10,GREEN,2,0,0,1,3,0,34,5.5
2,2026-09-18 00:38:13,YELLOW,5,0,0,0,5,0,34,5.0
2,2026-09-18 00:38:16,YELLOW,9,0,0,0,9,4,38,9.0
2,2026-09-18 00:38:19,RED,11,0,0,0,11,1,39,11.0
2,2026-09-18 00:38:22,RED,9,0,0,0,9,0,39,9.0
2,2026-09-18 00:38:25,RED,8,0,0,0,8,0,39,8.0
2,2026-09-18 00:38:27,RED,1,0,0,0,1,0,39,1.0
3,2026-09-18 00:38:31,GREEN,4,0,0,0,4,3,42,4.0
3,2026-09-18 00:38:34,GREEN,1,0,0,0,1,0,42,1.0
3,2026-09-18 00:38:37,GREEN,2,0,0,0,2,1,43,2.0
3,2026-09-18 00:38:40,GREEN,2,0,0,0,2,0,43,2.0
3,2026-09-18 00:38:43,GREEN,2,0,0,1,3,0,43,5.5
3,2026-09-18 00:38:46,GREEN,6,0,0,0,6,5,48,6.0
3,2026-09-18 00:38:49,YELLOW,9,0,0,0,9,1,49,9.0
3,2026-09-18 00:38:52,YELLOW,6,0,1,0,7,0,49,9.0
3,2026-09-18 00:38:55,RED,4,0,2,0,6,1,50,10.0
3,2026-09-18 00:38:57,RED,8,0,0,0,8,0,50,8.0
3,2026-09-18 00:39:00,RED,8,0,0,0,8,0,50,8.0
3,2026-09-18 00:39:03,RED,8,0,1,0,9,0,50,11.0
4,2026-09-18 00:39:07,GREEN,1,0,0,0,1,0,50,1.0
4,2026-09-18 00:39:10,GREEN,4,0,0,0,4,2,52,4.0
4,2026-09-18 00:39:13,GREEN,7,0,0,1,8,2,54,10.5
4,2026-09-18 00:39:15,GREEN,7,0,0,1,8,0,54,10.5
0,2026-09-18 01:04:50,WARMUP,0,0,0,0,0,0,0,0.0
0,2026-09-18 01:04:50,WARMUP,0,0,0,0,0,0,0,0.0
0,2026-09-18 01:04:51,WARMUP,0,0,0,0,0,0,0,0.0
0,2026-09-18 01:04:51,WARMUP,0,0,0,0,0,0,0,0.0
0,2026-09-18 01:04:53,WARMUP,0,0,0,0,0,0,0,0.0
0,2026-09-18 01:04:53,WARMUP,0,0,0,0,0,0,0,0.0
0,2026-09-18 01:04:53,WARMUP,0,0,0,0,0,0,0,0.0
0,2026-09-18 01:04:53,WARMUP,0,0,0,0,0,0,0,0.0
0,2026-09-18 01:04:54,WARMUP,0,0,0,0,0,0,0,0.0
