time_sec,cars,motorcycles,buses,trucks,total_vehicles
0,7,0,0,0,7
1,7,0,0,0,7
2,6,0,0,0,6
3,5,0,0,1,6
4,7,0,0,0,7
5,8,0,0,0,8
6,7,0,0,1,8
7,9,0,0,0,9
8,10,0,0,1,11
9,10,0,1,1,12
10,11,0,0,0,11
11,6,0,0,0,6
12,6,0,0,0,6
13,6,0,0,0,6
14,5,0,0,0,5
15,5,0,0,0,5
16,3,0,0,0,3
17,5,0,0,0,5
18,5,0,0,0,5
19,6,0,0,1,7
20,6,0,0,1,7
21,8,0,0,0,8
22,6,0,0,0,6
23,5,0,0,0,5
24,5,0,0,0,5
25,3,0,0,1,4
26,8,0,0,0,8
27,11,0,1,0,12
28,10,0,1,1,12
29,10,0,0,2,12
30,10,0,1,0,11
31,8,0,1,1,10
32,10,0,1,2,13
33,9,0,1,2,12
34,10,0,1,2,13
35,9,0,1,3,13
36,9,0,2,3,14
37,9,0,2,2,13
38,12,0,1,3,16
39,9,0,1,2,12
40,13,0,0,1,14
41,9,0,0,1,10
42,6,0,0,1,7
43,10,0,0,1,11
44,9,0,1,0,10
45,14,0,1,1,16
46,9,0,2,1,12
47,12,0,1,1,14
48,11,0,0,2,13
49,16,0,0,1,17
50,14,0,0,1,15
51,12,0,0,1,13
52,8,0,0,1,9
53,12,0,0,1,13
54,11,0,0,0,11
55,10,0,0,0,10
56,10,0,0,2,12
57,10,0,0,2,12
58,10,0,1,0,11
59,9,0,0,2,11
60,14,0,0,0,14
61,11,0,0,0,11
62,12,0,1,1,14
63,11,0,1,0,12
64,10,0,1,3,14
65,11,0,1,1,13
66,14,0,0,2,16
67,13,0,0,1,14
68,13,0,0,2,15
69,11,0,0,2,13
70,14,0,0,2,16
71,8,0,0,4,12
72,10,0,0,3,13
73,9,0,0,2,11
74,8,0,0,1,9
75,7,0,0,0,7
76,7,0,0,2,9
77,7,0,0,0,7
78,8,0,0,0,8
79,8,0,0,0,8
80,10,0,0,0,10
81,10,0,0,0,10
82,11,0,0,0,11
83,10,0,1,0,11
84,11,0,0,0,11
85,6,0,0,0,6
86,5,0,0,0,5
87,4,0,0,0,4
88,3,0,0,1,4
89,3,0,0,1,4
90,4,0,0,2,6
91,4,0,0,1,5
92,4,0,0,0,4
93,4,0,0,0,4
94,5,0,0,0,5
95,3,0,0,0,3
96,3,0,0,1,4
97,3,0,0,2,5
98,4,0,0,2,6
99,4,0,0,1,5
100,5,0,0,1,6
101,7,0,0,0,7
102,9,0,0,0,9
103,9,0,0,0,9
104,8,0,0,0,8
105,9,0,0,0,9
106,11,0,0,1,12
107,10,0,0,0,10
108,10,0,0,0,10
109,8,0,0,0,8
110,7,0,0,1,8
111,5,0,0,0,5
112,4,0,0,0,4
113,2,0,1,1,4
114,3,0,1,0,4
115,4,0,0,1,5
116,6,0,0,1,7
117,8,0,0,1,9
118,6,0,0,1,7
119,6,0,0,0,6
120,4,0,0,1,5
121,5,0,0,1,6
122,4,0,0,1,5
123,3,0,0,1,4
124,3,0,0,0,3
125,3,0,0,0,3
126,6,0,0,0,6
127,5,0,0,0,5
128,7,0,0,0,7
129,9,0,0,0,9
130,9,0,0,0,9
131,8,0,0,0,8
132,7,0,0,0,7
133,5,0,0,0,5
134,6,0,1,0,7
135,9,0,3,0,12
136,12,0,3,0,15
137,12,0,0,0,12
138,13,0,1,2,16
139,13,0,0,2,15
140,15,0,0,1,16
141,16,0,0,1,17
142,15,0,0,1,16
143,15,0,0,0,15
144,11,0,0,0,11
145,11,0,0,0,11
146,9,0,0,1,10
147,7,0,0,1,8
148,10,0,0,2,12
149,9,0,0,0,9
150,11,0,0,0,11
151,9,0,0,1,10
152,10,0,0,0,10
153,13,0,0,0,13
154,13,0,0,0,13
155,12,0,0,0,12
156,10,0,0,0,10
157,13,0,0,1,14
158,17,0,0,0,17
159,16,0,0,1,17
160,12,0,0,4,16
161,15,0,0,0,15
162,13,0,0,2,15
163,12,0,0,0,12
164,12,0,0,1,13
165,11,0,0,0,11
166,10,0,0,2,12
167,13,0,0,0,13
168,11,0,0,0,11
169,11,0,0,0,11
170,11,0,0,1,12
171,12,0,2,3,17
172,8,0,0,1,9
173,10,0,0,2,12
174,10,0,0,1,11
175,10,0,1,2,13
176,11,0,0,2,13
177,11,0,1,2,14
178,12,0,0,2,14
179,9,0,1,1,11
180,15,0,0,1,16
181,11,0,0,2,13
182,10,0,0,1,11
183,14,0,0,0,14
184,11,0,0,0,11
185,13,0,0,0,13
186,12,0,0,0,12
187,8,0,1,1,10
188,12,0,0,0,12
189,14,0,1,0,15
190,14,0,0,0,14
191,12,0,0,1,13
192,11,0,0,0,11
193,6,0,0,0,6
194,12,0,0,0,12
195,13,0,0,2,15
196,12,0,0,1,13
197,10,0,0,2,12
198,11,0,0,1,12
199,14,0,0,1,15
200,10,0,0,1,11
201,11,0,0,1,12
202,9,0,0,2,11
203,9,0,0,2,11
204,10,0,0,2,12
205,11,0,0,2,13
206,12,0,0,0,12
207,11,0,0,0,11
208,8,0,0,1,9
209,14,0,0,1,15
210,12,0,1,1,14
211,11,0,1,2,14
212,16,0,1,0,17
213,17,0,0,0,17
214,12,0,0,0,12
215,11,0,0,1,12
216,8,0,0,3,11
217,8,0,0,0,8
218,9,0,0,0,9
219,8,0,0,0,8
220,6,0,0,2,8
221,4,0,0,1,5
222,7,0,0,0,7
223,8,0,0,2,10
224,6,0,0,1,7
225,7,0,0,2,9
226,6,0,0,1,7
227,4,0,0,1,5
228,8,0,0,1,9
229,6,0,1,0,7
230,6,0,1,1,8
231,6,0,0,1,7
232,9,0,0,0,9
233,7,0,0,0,7
234,7,0,0,0,7
235,8,0,0,0,8
236,6,0,0,0,6
237,5,0,0,0,5
238,5,0,0,0,5
239,5,0,0,0,5
240,6,0,0,0,6
241,6,0,0,0,6
242,7,0,1,0,8
243,7,0,1,0,8
244,6,0,1,0,7
245,7,0,0,0,7
246,9,0,0,0,9
247,6,0,0,0,6
248,9,0,0,0,9
249,7,0,0,0,7
250,8,0,0,0,8
251,7,0,0,1,8
252,7,0,0,1,8
253,7,0,0,2,9
254,6,0,0,1,7
255,6,0,0,1,7
256,10,0,0,0,10
257,5,0,0,1,6
258,6,0,0,1,7
259,8,0,0,0,8
260,7,0,0,0,7
261,8,0,0,0,8
262,8,0,0,0,8
263,10,0,0,0,10
264,9,0,0,0,9
265,8,0,0,0,8
266,8,0,0,0,8
267,9,0,0,0,9
268,8,0,0,0,8
269,6,0,0,0,6
270,4,0,0,1,5
271,5,0,0,2,7
272,5,0,0,1,6
273,8,0,0,3,11
274,7,0,0,0,7
275,6,0,0,1,7
276,7,0,0,1,8
277,9,0,0,0,9
278,11,0,0,1,12
279,11,0,0,0,11
280,10,0,0,0,10
281,11,0,0,1,12
282,11,0,0,2,13
283,10,0,0,1,11
284,12,0,0,1,13
285,9,0,0,1,10
286,7,0,0,1,8
287,7,0,0,0,7
288,7,0,0,0,7
289,7,0,0,0,7
290,5,0,0,0,5
291,6,0,0,0,6
292,6,0,0,1,7
293,7,0,0,1,8
294,6,0,1,0,7
295,7,0,0,1,8
296,6,0,0,0,6
